,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Lebu,84,ET,1563990335,84,8.96,38.73,57.79,2.75
1,Adrar,0,DZ,1563990336,10,27.87,-0.29,107.6,19.46
2,Mogadishu,100,SO,1563990337,80,2.04,45.34,74.71,14.79
3,Punta Arenas,75,CL,1563990338,86,-53.16,-70.91,37.4,4.7
4,Jamestown,0,AU,1563990288,91,-33.21,138.6,45.91,5.75
5,Vidim,0,CZ,1563990344,27,50.47,14.53,89.6,6.93
6,Deer Lake,75,CA,1563990346,60,49.18,-57.43,69.8,2.24
7,Red Bluff,1,US,1563990049,27,40.18,-122.24,89.01,11.41
8,Bubaque,91,GW,1563990348,86,11.28,-15.83,78.49,16.82
9,Bluff,0,AU,1563990370,52,-23.58,149.07,54.55,4.92
10,Butaritari,26,KI,1563990371,70,3.07,172.79,84.07,4.0
11,Ushuaia,0,AR,1563990176,64,-54.81,-68.31,39.2,9.17
12,Port Alfred,0,ZA,1563990374,75,-33.59,26.89,55.99,1.99
13,Dunedin,6,NZ,1563990155,77,-45.87,170.5,46.0,5.01
14,Saint-Philippe,90,CA,1563990377,60,45.36,-73.48,77.0,4.7
15,Moron,5,HT,1563990378,69,18.56,-74.26,83.35,3.51
16,Pahrump,40,US,1563990321,21,36.21,-115.98,99.0,5.97
17,Tiksi,77,RU,1563990381,68,71.64,128.87,43.39,2.98
18,Robertson,0,AU,1563990384,70,-34.59,150.59,46.99,12.75
19,Hermanus,86,ZA,1563990386,75,-34.42,19.24,57.0,10.0
20,New Norfolk,75,AU,1563990387,62,-42.78,147.06,53.6,11.41
21,Faanui,0,PF,1563990390,82,-16.48,-151.75,79.75,10.04
22,Guerrero Negro,16,MX,1563990392,76,27.97,-114.04,69.67,5.99
23,Dingle,0,PH,1563990394,90,11.0,122.67,73.99,5.08
24,Castro,20,CL,1563990395,76,-42.48,-73.76,48.2,2.24
25,Torbay,90,CA,1563990396,88,47.66,-52.73,68.0,10.29
26,Qaanaaq,54,GL,1563990275,47,77.48,-69.36,46.63,7.96
27,Geraldton,90,CA,1563990399,60,49.72,-86.95,75.2,9.17
28,Port Elizabeth,20,US,1563990400,54,39.31,-74.98,86.0,9.17
29,Severo-Kurilsk,100,RU,1563990403,96,50.68,156.12,46.63,19.35
30,Ternate,40,PH,1563990404,78,14.29,120.72,82.4,4.7
31,Taltal,40,CL,1563990405,77,-25.41,-70.49,47.17,4.76
32,Altay,60,CN,1563990408,84,47.83,88.13,45.55,5.1
33,Albany,40,US,1563990215,44,42.65,-73.75,81.0,3.36
34,Kaohsiung,40,TW,1563990410,88,22.62,120.31,82.99,2.24
35,Klaksvik,87,FO,1563990412,100,62.23,-6.59,53.6,2.24
36,Nueve de Julio,0,AR,1563990311,25,-31.67,-68.39,56.53,9.48
37,Pyaozerskiy,79,RU,1563990415,78,65.83,31.17,59.41,8.72
38,Panorama,0,BR,1563990417,31,-21.35,-51.86,86.59,5.23
39,Saint George,20,GR,1563990418,65,39.45,22.34,81.0,13.87
40,Lavrentiya,100,RU,1563990419,96,65.58,-170.99,44.29,4.25
41,Mount Gambier,90,AU,1563990420,100,-37.83,140.78,51.8,11.41
42,Vershino-Darasunskiy,46,RU,1563990421,92,52.35,115.52,48.97,1.79
43,Busselton,100,AU,1563990423,74,-33.64,115.35,53.01,20.29
44,Nikolskoye,40,RU,1563990425,63,59.7,30.79,63.0,6.71
45,Berlevag,75,NO,1563990426,100,70.86,29.09,57.2,3.36
46,Yellowknife,40,CA,1563990428,53,62.45,-114.38,73.4,4.7
47,Touros,40,BR,1563990429,66,-5.2,-35.46,84.2,11.41
48,Inuvik,20,CA,1563990430,63,68.36,-133.71,62.6,9.17
49,Luchegorsk,100,RU,1563990431,99,46.44,134.3,66.07,2.15
50,Husavik,0,CA,1563990433,35,50.56,-96.99,82.99,7.0
51,Cidreira,100,BR,1563990434,96,-30.17,-50.22,60.67,15.73
52,Hobart,75,AU,1563990436,62,-42.88,147.33,53.6,11.41
53,Parakou,53,BJ,1563990437,78,9.34,2.63,79.39,2.55
54,Jumla,90,NP,1563990438,96,29.28,82.18,57.07,2.55
55,Khatanga,23,RU,1563990440,53,71.98,102.47,55.63,9.73
56,Upernavik,0,GL,1563990442,69,72.79,-56.15,47.17,10.69
57,Axim,0,GH,1563990443,83,4.87,-2.24,77.05,9.19
58,Abeche,0,TD,1563990444,33,13.83,20.83,94.15,3.67
59,Rikitea,0,PF,1563990445,80,-23.12,-134.97,73.63,9.75
60,Mataura,58,NZ,1563990447,96,-46.19,168.86,37.0,1.01
61,Cherskiy,100,RU,1563990448,91,68.75,161.3,35.65,13.85
62,Vaini,100,IN,1563990449,95,15.34,74.49,76.15,2.51
63,Ruteng,80,ID,1563990450,81,-8.61,120.46,63.55,5.39
64,Hithadhoo,66,MV,1563990451,64,-0.6,73.08,83.53,4.12
65,Isabela,42,PH,1563990453,80,10.2,122.99,80.29,10.94
66,Shimoda,6,JP,1563990454,94,34.7,138.93,77.0,2.48
67,Itarema,69,BR,1563990456,56,-2.92,-39.92,86.23,11.36
68,Abu Dhabi,33,AE,1563990458,63,24.47,54.37,96.8,9.17
69,Arraial do Cabo,0,BR,1563990459,61,-22.97,-42.02,80.6,16.11
70,Kapaa,75,US,1563990460,74,22.08,-159.32,80.6,12.75
71,Bregovo,28,BG,1563990461,58,44.15,22.64,74.89,9.04
72,Carnarvon,27,ZA,1563990463,62,-30.97,22.13,42.13,7.18
73,Chuy,100,UY,1563990464,73,-33.69,-53.46,52.93,13.27
74,Okhotsk,0,RU,1563990465,81,59.36,143.24,47.53,3.74
75,Thompson,20,CA,1563990466,42,55.74,-97.86,84.2,8.05
76,Batagay-Alyta,79,RU,1563990467,53,67.8,130.41,57.07,4.97
77,East London,0,ZA,1563990469,76,-33.02,27.91,55.4,9.17
78,Kiunga,100,PG,1563990470,98,-6.12,141.3,70.21,2.62
79,Barrow,0,AR,1563990471,30,-38.31,-60.23,54.37,2.33
80,Kedrovyy,40,RU,1563990472,87,56.17,91.82,60.8,4.47
81,Clyde River,75,CA,1563990473,87,70.47,-68.59,48.2,12.75
82,Pangnirtung,75,CA,1563990476,87,66.15,-65.72,46.4,9.17
83,Hilo,90,US,1563990477,88,19.71,-155.08,75.0,4.7
84,Tuktoyaktuk,75,CA,1563990478,76,69.44,-133.03,50.0,17.22
85,Tulum,40,MX,1563990479,55,20.21,-87.46,91.99,10.29
86,Biskamzha,89,RU,1563990480,98,53.45,89.53,51.49,2.04
87,Lompoc,1,US,1563990336,60,34.64,-120.46,95.0,4.7
88,San Cristobal,92,HN,1563990483,34,14.68,-86.92,88.03,7.83
89,Malinyi,1,TZ,1563990484,49,-8.94,36.14,66.07,0.98
90,Esperance,75,AU,1563990485,76,-33.86,121.89,53.6,11.41
91,Porto Novo,0,BR,1563990488,39,-23.68,-45.44,78.8,3.36
92,Palmer,75,AU,1563990489,87,-34.85,139.16,53.01,6.93
93,Umm Lajj,0,SA,1563990490,71,25.02,37.27,86.59,8.84
94,Magadan,2,RU,1563990491,79,59.56,150.8,50.77,1.74
95,Sioux Lookout,20,CA,1563990493,50,50.1,-91.92,78.8,9.17
96,San Patricio,100,PY,1563990496,92,-26.98,-56.83,59.77,5.3
97,Kavaratti,100,IN,1563990497,80,10.57,72.64,81.55,18.01
98,Innisfail,90,AU,1563990498,86,-17.52,146.03,62.83,4.83
99,Norman Wells,20,CA,1563990501,64,65.28,-126.83,68.0,2.24
100,Fairbanks,40,US,1563990248,68,64.84,-147.72,69.8,3.36
101,Pio XII,41,BR,1563990503,55,-3.89,-45.17,87.49,5.06
102,Sandovo,91,RU,1563990504,90,58.46,36.41,61.21,3.58
103,Lorengau,80,PG,1563990506,84,-2.02,147.27,79.75,12.82
104,Alyangula,33,AU,1563990507,94,-13.85,136.42,69.8,7.43
105,Puerto Ayora,20,EC,1563990508,65,-0.74,-90.35,77.0,19.46
106,Victoria,75,BN,1563990426,94,5.28,115.24,77.0,9.93
107,Lazaro Cardenas,75,MX,1563990512,50,28.39,-105.62,82.99,9.17
108,Grindavik,0,IS,1563990515,71,63.84,-22.43,60.8,20.8
109,Winona,20,CA,1563990516,44,43.21,-79.65,82.0,11.41
110,Caravelas,48,BR,1563990517,80,-17.73,-39.27,75.43,9.91
111,Batemans Bay,0,AU,1563990519,83,-35.71,150.18,42.01,5.99
112,Gambela,79,ET,1563990520,94,8.25,34.59,68.77,2.8
113,Darab,4,IR,1563990521,59,28.75,54.55,69.85,1.99
114,Olinda,75,AU,1563990523,87,-37.84,145.39,53.01,8.05
115,Meulaboh,100,ID,1563990525,73,4.14,96.13,83.53,7.58
116,Ponta do Sol,0,BR,1563990526,38,-20.63,-46.0,76.69,5.97
117,Narsaq,75,GL,1563990527,66,60.91,-46.05,53.6,9.17
118,Flinders,0,AU,1563990529,70,-34.58,150.85,50.0,12.75
119,Port Macquarie,3,AU,1563990530,100,-31.43,152.91,51.01,1.12
120,Lata,74,IN,1563990531,94,30.78,78.62,45.19,2.44
121,Buala,35,SB,1563990533,83,-8.15,159.59,75.79,7.34
122,Khani,90,GE,1563990534,94,41.96,42.96,71.6,4.7
123,Biak,92,ID,1563990535,97,-0.91,122.88,59.41,4.29
124,Kholodnyy,43,RU,1563990536,56,62.72,147.95,47.35,2.53
125,Rathangan,75,IE,1563990538,73,53.22,-6.99,71.01,8.05
126,Taoudenni,70,ML,1563990539,18,22.68,-3.98,104.41,15.86
127,Sokolo,87,ML,1563990540,59,14.74,-6.12,84.07,4.7
128,Puerto Colombia,75,CO,1563990541,63,10.99,-74.96,91.4,12.75
129,Waingapu,42,ID,1563990542,86,-9.65,120.26,68.41,14.23
130,Pevek,0,RU,1563990545,76,69.7,170.27,36.19,4.65
131,Roald,0,NO,1563990546,88,62.58,6.12,72.0,10.29
132,Kruisfontein,0,ZA,1563990547,78,-34.0,24.73,48.07,3.02
133,Lukulu,0,ZM,1563990548,14,-14.38,23.24,63.55,2.33
134,Bhag,0,PK,1563990550,18,29.04,67.82,110.17,11.65
135,Williamsburg,1,US,1563990544,54,37.27,-76.71,82.99,6.93
136,Isangel,5,VU,1563990552,73,-19.55,169.27,70.57,12.71
137,Ribeira Grande,40,PT,1563990553,56,38.52,-28.7,73.4,6.93
138,Saint Anthony,1,US,1563990480,39,43.97,-111.68,82.99,12.75
139,Hervey Bay,0,AU,1563990556,93,-25.3,152.85,53.6,8.05
140,Bereda,0,ES,1563990558,73,43.27,-7.54,86.0,8.05
141,Port Arthur,1,US,1563990560,61,29.9,-93.93,82.4,8.05
142,Arman,42,RU,1563990562,71,59.7,150.17,47.35,2.82
143,Tasiilaq,40,GL,1563990336,66,65.61,-37.64,50.0,14.99
144,Baruun-Urt,44,MN,1563990565,95,46.68,113.28,53.65,8.16
145,La Ronge,75,CA,1563990568,54,55.1,-105.3,80.6,11.41
146,Nikolayevsk-na-amure,23,RU,1563990569,75,53.14,140.72,37.63,1.66
147,Bodden Town,40,KY,1563990570,70,19.28,-81.25,89.6,12.75
148,Luba,100,PH,1563990571,92,17.32,120.7,75.79,2.86
149,Atuona,13,PF,1563990572,74,-9.8,-139.03,80.29,18.16
150,Kasongo,0,CD,1563990574,28,-4.43,26.67,81.55,0.4
151,Nouadhibou,0,MR,1563990575,73,20.93,-17.03,71.6,21.92
152,Saint-Pierre,0,FR,1563990576,19,48.95,4.24,104.0,5.82
153,Barcelos,34,BR,1563990577,43,-0.97,-62.93,91.45,4.92
154,Brokopondo,40,SR,1563990578,55,5.06,-54.98,89.6,8.05
155,Natal,75,BR,1563990580,65,-5.81,-35.21,84.2,14.99
156,Tahe,100,CN,1563990581,99,52.34,124.71,49.15,4.63
157,Noumea,0,NC,1563990582,87,-22.28,166.46,51.8,1.12
158,Lamu,2,CN,1563990583,66,35.77,102.37,52.03,1.5
159,Imbituba,0,BR,1563990483,78,-28.24,-48.67,71.6,9.17
160,Yumen,0,CN,1563990585,22,40.29,97.04,76.15,3.96
161,Fukue,20,JP,1563990587,88,35.03,136.69,80.01,10.29
162,Sept-Iles,40,CA,1563990588,55,50.2,-66.38,66.99,17.22
163,Inirida,31,CO,1563990589,71,3.87,-67.92,85.15,2.57
164,Juneau,90,US,1563990590,82,58.3,-134.42,61.0,11.41
165,Egvekinot,98,RU,1563990592,88,66.32,-179.17,42.85,1.03
166,Port Hardy,40,CA,1563990595,72,50.7,-127.42,60.8,11.41
167,Kuytun,59,RU,1563990596,92,54.34,101.51,60.31,4.38
168,Port-Gentil,75,GA,1563990597,83,-0.72,8.78,77.0,11.41
169,Kamaishi,68,JP,1563990598,99,39.28,141.86,63.37,2.3
170,Talnakh,75,RU,1563990600,54,69.49,88.39,59.0,31.32
171,Yokaichiba,20,JP,1563990601,100,35.7,140.55,82.99,1.12
172,Mar del Plata,49,AR,1563990602,52,-46.43,-67.52,46.81,14.23
173,Taonan,51,CN,1563990603,66,45.34,122.78,68.0,3.0
174,San Policarpo,18,PH,1563990604,87,12.18,125.51,78.13,4.9
175,Bud,0,NO,1563990606,73,62.91,6.91,72.0,6.93
176,Rawson,0,AR,1563990607,33,-43.3,-65.11,49.69,8.5
177,Lakselv,40,NO,1563990608,77,70.05,24.96,68.0,3.36
178,Porto Nacional,20,BR,1563990609,27,-10.7,-48.41,91.4,5.82
179,Leningradskiy,22,RU,1563990613,89,69.38,178.42,37.09,6.11
180,Vanavara,93,RU,1563990614,57,60.35,102.28,62.65,3.22
181,Cape Town,40,ZA,1563990416,76,-33.93,18.42,57.99,16.11
182,Pudozh,16,RU,1563990616,83,61.81,36.54,59.77,4.5
183,Constitucion,90,MX,1563990618,60,23.99,-104.67,69.01,8.05
184,Luderitz,0,NA,1563990619,76,-26.65,15.16,57.2,17.22
185,Fortuna,20,US,1563990621,72,40.6,-124.16,72.0,6.93
186,Camacari,40,BR,1563990521,65,-12.7,-38.32,80.6,12.75
187,Pitimbu,90,BR,1563990623,100,-7.47,-34.81,71.6,9.17
188,Polovinnoye,0,RU,1563990625,79,54.79,65.99,61.21,7.7
189,Umm Kaddadah,0,SD,1563990626,24,13.6,26.69,95.41,8.41
190,Hovd,0,NO,1563990627,61,63.83,10.7,80.6,8.05
191,Kodiak,40,US,1563990628,47,39.95,-94.76,82.0,4.97
192,Tautira,20,PF,1563990629,78,-17.73,-149.15,78.8,6.93
193,Brigantine,20,US,1563990631,54,39.41,-74.36,82.0,9.17
194,Ewo,90,CG,1563990632,45,-0.88,14.81,84.61,5.99
195,Ancud,20,CL,1563990633,76,-41.87,-73.83,48.2,2.24
196,Batya,2,HU,1563990634,67,46.49,18.95,75.25,4.36
197,Bartica,75,GY,1563990636,59,6.41,-58.62,89.6,11.41
198,Kalmunai,90,LK,1563990637,74,7.42,81.82,78.85,1.81
199,Ramshir,0,IR,1563990638,50,30.89,49.41,96.8,13.87
200,Beringovskiy,97,RU,1563990640,66,63.05,179.32,49.51,0.2
201,Bonavista,97,CA,1563990642,84,48.65,-53.11,63.0,8.01
202,Palmerston,100,AU,1563990643,88,-12.49,130.99,69.8,5.82
203,Ponta Delgada,40,PT,1563990574,68,37.73,-25.67,71.6,16.11
204,Mayumba,9,GA,1563990645,90,-3.44,10.65,71.47,10.36
205,Avarua,50,CK,1563990617,94,-21.21,-159.78,68.0,3.36
206,Yulara,53,AU,1563990648,34,-25.24,130.99,50.0,5.82
207,Bar Harbor,75,US,1563990649,60,44.39,-68.2,81.0,4.7
208,Alofi,9,NU,1563990650,100,-19.06,-169.92,64.4,1.12
209,Gazanjyk,0,TM,1563990672,9,39.24,55.52,103.69,8.46
210,Valleyview,100,CA,1563990674,98,55.07,-117.28,57.61,12.41
211,Cabinda,40,AO,1563990675,78,-5.56,12.19,75.2,6.93
212,Imeni Morozova,40,RU,1563990398,63,59.98,31.04,63.0,6.71
213,Saskylakh,43,RU,1563990677,74,71.97,114.09,44.47,2.28
214,Puerto Carreno,40,CO,1563990665,70,6.19,-67.49,86.0,6.91
215,Cabo San Lucas,20,MX,1563990680,62,22.89,-109.91,91.4,10.29
216,Zverinogolovskoye,4,RU,1563990681,83,54.46,64.85,61.93,7.23
217,Muktsar,56,IN,1563990682,38,30.47,74.52,97.03,5.14
218,Chamba,100,IN,1563990683,81,32.56,76.12,73.45,4.88
219,Rio Grande,90,BR,1563990684,93,-32.03,-52.1,57.2,10.29
220,Along,100,IN,1563990686,98,28.17,94.8,60.67,1.05
221,Puerto Quijarro,0,BO,1563990687,55,-19.0,-57.72,66.2,18.34
222,Jalu,0,LY,1563990688,29,29.03,21.55,90.19,21.7
223,General Pico,0,AR,1563990689,27,-35.66,-63.75,58.15,7.34
224,Leirvik,0,NO,1563990534,73,59.78,5.5,73.4,6.93
225,Nibong Tebal,75,MY,1563990692,88,5.17,100.48,80.6,3.36
226,Kavieng,45,PG,1563990694,79,-2.57,150.8,81.91,25.1
227,Qarqin,0,AF,1563990695,18,37.41,66.03,92.53,15.75
228,Petropavlovsk-Kamchatskiy,75,RU,1563990696,100,53.05,158.65,51.8,2.24
229,Katherine,24,AU,1563990697,51,-14.47,132.26,59.0,6.93
230,Sao Paulo de Olivenca,59,BR,1563990699,45,-3.38,-68.87,91.81,4.09
231,Bambous Virieux,75,MU,1563990700,88,-20.34,57.76,69.8,11.41
232,Anadyr,90,RU,1563990701,93,64.73,177.51,48.2,4.47
233,Neuquen,0,AR,1563990702,46,-38.95,-68.06,50.0,3.36
234,Port Shepstone,0,ZA,1563990704,64,-30.74,30.45,52.21,3.22
235,Dargaville,60,NZ,1563990705,68,-35.94,173.86,56.17,4.14
236,Ahipara,38,NZ,1563990706,100,-35.17,173.16,42.01,3.74
237,Nautla,92,MX,1563990707,60,20.22,-96.78,86.23,12.17
238,Vardo,40,US,1563990709,61,39.62,-77.74,82.99,6.93
239,Tessalit,66,ML,1563990710,54,20.2,1.01,83.71,26.75
240,Cayenne,3,GF,1563990711,74,4.94,-52.33,86.0,12.75
241,Campbell River,40,CA,1563990499,67,50.02,-125.24,66.99,4.7
242,Yenagoa,94,NG,1563990713,90,4.92,6.26,76.51,5.59
243,Longyearbyen,75,NO,1563990715,65,78.22,15.63,44.6,11.41
244,Franklin,1,US,1563990716,54,35.93,-86.87,82.99,9.17
245,Rajula,100,IN,1563990717,82,21.04,71.44,81.01,14.07
246,Haines Junction,90,CA,1563990718,67,60.75,-137.51,52.75,7.72
247,Nuuk,75,GL,1563990719,87,64.17,-51.74,46.4,6.93
248,Hamilton,20,CA,1563990658,44,43.26,-79.87,82.0,11.41
249,Mbaiki,86,CF,1563990722,91,3.87,17.99,72.73,1.03
250,Alice Springs,90,AU,1563990723,41,-23.7,133.88,41.0,6.93
251,Oranjemund,0,ZA,1563990724,77,-28.55,16.43,55.99,13.35
252,Cap Malheureux,75,MU,1563990726,88,-19.98,57.61,69.8,11.41
253,Taganak,75,PH,1563990728,88,6.08,118.3,75.2,3.36
254,Pisco,0,PE,1563990730,30,-13.71,-76.2,71.6,20.8
255,Lalmohan,100,BD,1563990731,83,22.34,90.74,82.63,7.45
256,Bilibino,100,RU,1563990732,96,68.06,166.44,34.93,5.77
257,Coquimbo,20,CL,1563990578,66,-29.95,-71.34,55.4,9.17
258,Mulege,50,MX,1563990735,62,26.88,-111.98,87.49,8.39
259,Tatarka,69,BY,1563990736,78,53.25,28.82,63.73,5.86
260,Kamenka,60,MD,1563990737,69,48.03,28.7,69.01,6.6
261,Dandong,76,CN,1563990738,99,40.12,124.37,74.35,4.56
262,Rosita,34,NI,1563990740,88,13.92,-84.4,81.55,4.52
263,Souillac,0,FR,1563990741,32,45.6,-0.6,98.6,6.93
264,Hasaki,20,JP,1563990742,100,35.73,140.83,75.2,1.12
265,Vila Velha,20,BR,1563990743,51,-3.71,-38.6,86.0,12.75
266,Outjo,1,NA,1563990744,14,-20.11,16.16,68.0,7.81
267,Bandarbeyla,76,SO,1563990745,49,9.49,50.81,81.91,27.11
268,Fort Nelson,90,CA,1563990747,93,58.81,-122.69,59.0,2.24
269,Cabildo,40,CL,1563990748,76,-32.43,-71.07,53.6,13.87
270,Georgetown,40,GY,1563990454,74,6.8,-58.16,89.6,11.41
271,Letka,20,BA,1563990751,31,43.74,17.27,91.4,9.17
272,Bredasdorp,21,ZA,1563990752,62,-34.53,20.04,59.0,11.41
273,Harwich,1,US,1563990754,68,41.69,-70.08,77.0,11.41
274,Calama,0,CL,1563990756,27,-22.46,-68.93,53.01,25.28
275,Uruzgan,6,AF,1563990757,19,32.93,66.63,65.35,3.76
276,Calvia,0,ES,1563990758,51,39.57,2.51,90.0,9.17
277,Mathbaria,100,BD,1563990760,87,22.29,89.96,82.45,5.55
278,Uyuni,100,BO,1563990761,99,-20.46,-66.82,31.51,14.92
